source_row_index,rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,green_rate_numeric,red_rate_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
27,28,moonshotai/kimi-k2.6@reasoning=xhigh,moonshotai,xhigh,1.27,0.5,0.19,50,31,19,100,0,bullshit_bench,bullshit_bench:0027:moonshotai_kimi_k2_6_reasoning_xhigh,moonshotai/kimi-k2.6@reasoning=xhigh,moonshotai/kimi-k2.6@reasoning=xhigh,1.27,0.5,0.19,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,moonshotai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench moonshotai/kimi-k2.6 reasoning=xhigh.,"Only kimi-k2.5 and kimi-k2 in elo, not k2.6.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",moonshotai
28,29,openai/gpt-5.5@reasoning=xhigh,openai,xhigh,1.2667,0.47,0.13,47,40,13,100,0,bullshit_bench,bullshit_bench:0028:openai_gpt_5_5_reasoning_xhigh,openai/gpt-5.5@reasoning=xhigh,openai/gpt-5.5@reasoning=xhigh,1.2667,0.47,0.13,BullshitBench avg_score,gpt-5.5-medium,variant-compatible,reviewed_2026_05,medium,openai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,reasoning,medium,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench openai/gpt-5.5 reasoning=xhigh maps to elo gpt-5.5-medium with a reasoning-config caveat.,elo exposes only gpt-5.5-medium; the low/xhigh reasoning rows were collapsed to that representative tier and the non-reasoning 'none' row left unmatched.,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,openai
29,30,x-ai/grok-4.20-beta@reasoning=low,x-ai,low,1.2567,0.56,0.26,56,18,26,100,0,bullshit_bench,bullshit_bench:0029:x_ai_grok_4_20_beta_reasoning_low,x-ai/grok-4.20-beta@reasoning=low,x-ai/grok-4.20-beta@reasoning=low,1.2567,0.56,0.26,BullshitBench avg_score,,ambiguous,reviewed_2026_05,low,x-ai,bullshit_bench_v2_2026_05,reasoning=low,reasoning_or_configured,low,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench x-ai/grok-4.20-beta identity/config against elo is genuinely uncertain; held out of analysis.,Preview 'beta' tag and effort levels (low/xhigh) do not cleanly equal the released grok-4-20-reasoning run; held ambiguous.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",x-ai
30,31,openai/gpt-5.4@reasoning=none,openai,none,1.25,0.48,0.16,48,36,16,100,0,bullshit_bench,bullshit_bench:0030:openai_gpt_5_4_reasoning_none,openai/gpt-5.4@reasoning=none,openai/gpt-5.4@reasoning=none,1.25,0.48,0.16,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.4 reasoning=none.,elo gpt-5.4 tiers are low/medium/high; the xhigh reasoning row mapped to the -medium representative and the non-reasoning 'none' row left unmatched.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
31,32,nvidia/nemotron-3-super-120b-a12b:free@reasoning=xhigh,nvidia,xhigh,1.2267,0.54,0.3,54,16,30,100,0,bullshit_bench,bullshit_bench:0031:nvidia_nemotron_3_super_120b_a12b_free_reasoning_xhigh,nvidia/nemotron-3-super-120b-a12b:free@reasoning=xhigh,nvidia/nemotron-3-super-120b-a12b:free@reasoning=xhigh,1.2267,0.54,0.3,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,nvidia,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench nvidia/nemotron-3-super-120b-a12b:free reasoning=xhigh.,,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",nvidia
32,33,moonshotai/kimi-k2.5@reasoning=none,moonshotai,none,1.2267,0.52,0.28,52,20,28,100,0,bullshit_bench,bullshit_bench:0032:moonshotai_kimi_k2_5_reasoning_none,moonshotai/kimi-k2.5@reasoning=none,moonshotai/kimi-k2.5@reasoning=none,1.2267,0.52,0.28,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,moonshotai,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench moonshotai/kimi-k2.5 reasoning=none.,none is a non-reasoning run with no counterpart; the reasoning kimi-k2.5 run carries the match.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",moonshotai
33,34,openai/gpt-5.5@reasoning=none,openai,none,1.2233,0.45,0.16,45,39,16,100,0,bullshit_bench,bullshit_bench:0033:openai_gpt_5_5_reasoning_none,openai/gpt-5.5@reasoning=none,openai/gpt-5.5@reasoning=none,1.2233,0.45,0.16,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.5 reasoning=none.,elo exposes only gpt-5.5-medium; the low/xhigh reasoning rows were collapsed to that representative tier and the non-reasoning 'none' row left unmatched.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
34,35,openai/gpt-5.5@reasoning=low,openai,low,1.2,0.45,0.18,45,37,18,100,0,bullshit_bench,bullshit_bench:0034:openai_gpt_5_5_reasoning_low,openai/gpt-5.5@reasoning=low,openai/gpt-5.5@reasoning=low,1.2,0.45,0.18,BullshitBench avg_score,gpt-5.5-medium,variant-compatible,reviewed_2026_05,medium,openai,bullshit_bench_v2_2026_05,reasoning=low,reasoning_or_configured,low,reasoning,medium,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench openai/gpt-5.5 reasoning=low maps to elo gpt-5.5-medium with a reasoning-config caveat.,elo exposes only gpt-5.5-medium; the low/xhigh reasoning rows were collapsed to that representative tier and the non-reasoning 'none' row left unmatched.,cross_ref_bullshit_bench_2026_05,True,True,True,True,False,True,False,bullshit_bench:0028:openai_gpt_5_5_reasoning_xhigh,bullshit_bench:0028:openai_gpt_5_5_reasoning_xhigh,True,True,metric_analysis_rows_max_dedupe,dedupe,Another eval row for this LLM Chess player was kept after max-score metric dedupe: bullshit_bench:0028:openai_gpt_5_5_reasoning_xhigh.,elo_analysis_rows_max_dedupe,dedupe,Another eval row for this Elo-valid LLM Chess player was kept after max-score Elo dedupe: bullshit_bench:0028:openai_gpt_5_5_reasoning_xhigh.,metric_analysis_rows_max_dedupe,dedupe,Another eval row for this LLM Chess player was kept after max-score metric dedupe: bullshit_bench:0028:openai_gpt_5_5_reasoning_xhigh.,openai
35,36,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,1.1667,0.42,0.2,42,38,20,100,0,bullshit_bench,bullshit_bench:0035:openai_gpt_5_4_reasoning_xhigh,openai/gpt-5.4@reasoning=xhigh,openai/gpt-5.4@reasoning=xhigh,1.1667,0.42,0.2,BullshitBench avg_score,gpt-5.4-medium,variant-compatible,reviewed_2026_05,medium,openai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,reasoning,medium,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench openai/gpt-5.4 reasoning=xhigh maps to elo gpt-5.4-medium with a reasoning-config caveat.,elo gpt-5.4 tiers are low/medium/high; the xhigh reasoning row mapped to the -medium representative and the non-reasoning 'none' row left unmatched.,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,openai
36,37,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic,default,1.1433,0.49,0.34,49,17,34,100,0,bullshit_bench,bullshit_bench:0036:anthropic_claude_3_7_sonnet_thinking_reasoning_default,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic/claude-3.7-sonnet:thinking@reasoning=default,1.1433,0.49,0.34,BullshitBench avg_score,,ambiguous,reviewed_2026_05,low,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.7-sonnet:thinking identity/config against elo is genuinely uncertain; held out of analysis.,Thinking budget unspecified; elo has 1k/2k/5k/10k budgets with no clear default.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",anthropic
37,38,qwen/qwen3-max-thinking@reasoning=none,qwen,none,1.1433,0.46,0.26,46,28,26,100,0,bullshit_bench,bullshit_bench:0037:qwen_qwen3_max_thinking_reasoning_none,qwen/qwen3-max-thinking@reasoning=none,qwen/qwen3-max-thinking@reasoning=none,1.1433,0.46,0.26,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3-max-thinking reasoning=none.,"qwen-max in elo is the older non-reasoning Qwen-Max, not Qwen3-Max-Thinking.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
38,39,openai/gpt-5.2-codex@reasoning=low,openai,low,1.1367,0.45,0.29,45,26,29,100,0,bullshit_bench,bullshit_bench:0038:openai_gpt_5_2_codex_reasoning_low,openai/gpt-5.2-codex@reasoning=low,openai/gpt-5.2-codex@reasoning=low,1.1367,0.45,0.29,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=low,reasoning_or_configured,low,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.2-codex reasoning=low.,No gpt-5.2-codex in elo (only gpt-5.1-codex and gpt-5.3-codex).,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
39,40,google/gemini-3-pro-preview@reasoning=low,google,low,1.1267,0.48,0.37,48,15,37,100,0,bullshit_bench,bullshit_bench:0039:google_gemini_3_pro_preview_reasoning_low,google/gemini-3-pro-preview@reasoning=low,google/gemini-3-pro-preview@reasoning=low,1.1267,0.48,0.37,BullshitBench avg_score,gemini-3-pro-preview,variant-compatible,reviewed_2026_05,medium,google,bullshit_bench_v2_2026_05,reasoning=low,reasoning_or_configured,low,reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench google/gemini-3-pro-preview reasoning=low maps to elo gemini-3-pro-preview with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,google
40,41,anthropic/claude-opus-4.1@reasoning=none,anthropic,none,1.1233,0.43,0.29,43,28,29,100,0,bullshit_bench,bullshit_bench:0040:anthropic_claude_opus_4_1_reasoning_none,anthropic/claude-opus-4.1@reasoning=none,anthropic/claude-opus-4.1@reasoning=none,1.1233,0.43,0.29,BullshitBench avg_score,claude-opus-4-1,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.1 reasoning=none maps to elo claude-opus-4-1 with a reasoning-config caveat.,No reasoning opus-4-1 run in elo; only the high reasoning row is unmatched.,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
41,42,nvidia/nemotron-3-super-120b-a12b@reasoning=high,nvidia,high,1.1167,0.47,0.35,47,18,35,100,0,bullshit_bench,bullshit_bench:0041:nvidia_nemotron_3_super_120b_a12b_reasoning_high,nvidia/nemotron-3-super-120b-a12b@reasoning=high,nvidia/nemotron-3-super-120b-a12b@reasoning=high,1.1167,0.47,0.35,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,nvidia,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench nvidia/nemotron-3-super-120b-a12b reasoning=high.,"Only a local nemotron-3-nano quant in elo, not the 120B Super model.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",nvidia
42,43,x-ai/grok-4.3@reasoning=xhigh,x-ai,xhigh,1.1167,0.46,0.31,46,23,31,100,0,bullshit_bench,bullshit_bench:0042:x_ai_grok_4_3_reasoning_xhigh,x-ai/grok-4.3@reasoning=xhigh,x-ai/grok-4.3@reasoning=xhigh,1.1167,0.46,0.31,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,x-ai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench x-ai/grok-4.3 reasoning=xhigh.,No grok-4.3 in elo_refined.csv.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",x-ai
43,44,anthropic/claude-opus-4.1@reasoning=high,anthropic,high,1.1167,0.42,0.29,42,29,29,100,0,bullshit_bench,bullshit_bench:0043:anthropic_claude_opus_4_1_reasoning_high,anthropic/claude-opus-4.1@reasoning=high,anthropic/claude-opus-4.1@reasoning=high,1.1167,0.42,0.29,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench anthropic/claude-opus-4.1 reasoning=high.,No reasoning opus-4-1 run in elo; only the high reasoning row is unmatched.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",anthropic
44,45,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,1.1067,0.5,0.35,50,15,35,100,0,bullshit_bench,bullshit_bench:0044:anthropic_claude_3_5_haiku_reasoning_default,anthropic/claude-3.5-haiku@reasoning=default,anthropic/claude-3.5-haiku@reasoning=default,1.1067,0.5,0.35,BullshitBench avg_score,claude-3-5-haiku,alias,reviewed_2026_05,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.5-haiku is the same model as elo claude-3-5-haiku.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
45,46,openai/gpt-5.2@reasoning=none,openai,none,1.1,0.38,0.23,38,39,23,100,0,bullshit_bench,bullshit_bench:0045:openai_gpt_5_2_reasoning_none,openai/gpt-5.2@reasoning=none,openai/gpt-5.2@reasoning=none,1.1,0.38,0.23,BullshitBench avg_score,gpt-5.2-chat,variant-compatible,reviewed_2026_05,medium,openai,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench openai/gpt-5.2 reasoning=none maps to elo gpt-5.2-chat with a reasoning-config caveat.,elo gpt-5.2 tiers are low/medium (no -high); the high reasoning row mapped to the -medium representative and 'none' to gpt-5.2-chat.,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,openai
46,47,openai/gpt-5.5-pro@reasoning=medium,openai,medium,1.0867,0.34,0.2,34,46,20,100,0,bullshit_bench,bullshit_bench:0046:openai_gpt_5_5_pro_reasoning_medium,openai/gpt-5.5-pro@reasoning=medium,openai/gpt-5.5-pro@reasoning=medium,1.0867,0.34,0.2,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=medium,reasoning_or_configured,medium,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.5-pro reasoning=medium.,GPT-5.5 Pro is a distinct product tier; only base gpt-5.5-medium exists in elo.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
47,48,openai/gpt-5.5-pro@reasoning=xhigh,openai,xhigh,1.07,0.36,0.21,36,43,21,100,0,bullshit_bench,bullshit_bench:0047:openai_gpt_5_5_pro_reasoning_xhigh,openai/gpt-5.5-pro@reasoning=xhigh,openai/gpt-5.5-pro@reasoning=xhigh,1.07,0.36,0.21,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.5-pro reasoning=xhigh.,GPT-5.5 Pro is a distinct product tier; only base gpt-5.5-medium exists in elo.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
48,49,anthropic/claude-3.5-sonnet@reasoning=default,anthropic,default,1.0633,0.45,0.36,45,19,36,100,0,bullshit_bench,bullshit_bench:0048:anthropic_claude_3_5_sonnet_reasoning_default,anthropic/claude-3.5-sonnet@reasoning=default,anthropic/claude-3.5-sonnet@reasoning=default,1.0633,0.45,0.36,BullshitBench avg_score,claude-3-5-sonnet,alias,reviewed_2026_05,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.5-sonnet is the same model as elo claude-3-5-sonnet.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
49,50,openai/gpt-5.3-chat@reasoning=default,openai,default,1.06,0.4,0.31,40,29,31,100,0,bullshit_bench,bullshit_bench:0049:openai_gpt_5_3_chat_reasoning_default,openai/gpt-5.3-chat@reasoning=default,openai/gpt-5.3-chat@reasoning=default,1.06,0.4,0.31,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=default,unknown,,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.3-chat reasoning=default.,No gpt-5.3-chat in elo.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
50,51,openai/gpt-5.1-chat@reasoning=default,openai,default,1.0533,0.45,0.36,45,19,36,100,0,bullshit_bench,bullshit_bench:0050:openai_gpt_5_1_chat_reasoning_default,openai/gpt-5.1-chat@reasoning=default,openai/gpt-5.1-chat@reasoning=default,1.0533,0.45,0.36,BullshitBench avg_score,gpt-5.1-chat,alias,reviewed_2026_05,high,openai,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench openai/gpt-5.1-chat is the same model as elo gpt-5.1-chat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,openai
51,52,google/gemini-3.1-pro-preview@reasoning=low,google,low,1.0467,0.37,0.31,37,32,31,100,0,bullshit_bench,bullshit_bench:0051:google_gemini_3_1_pro_preview_reasoning_low,google/gemini-3.1-pro-preview@reasoning=low,google/gemini-3.1-pro-preview@reasoning=low,1.0467,0.37,0.31,BullshitBench avg_score,gemini-3.1-pro-preview,variant-compatible,reviewed_2026_05,medium,google,bullshit_bench_v2_2026_05,reasoning=low,reasoning_or_configured,low,reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench google/gemini-3.1-pro-preview reasoning=low maps to elo gemini-3.1-pro-preview with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,google
52,53,openai/gpt-5.4-mini@reasoning=xhigh,openai,xhigh,1.0467,0.31,0.22,31,47,22,100,0,bullshit_bench,bullshit_bench:0052:openai_gpt_5_4_mini_reasoning_xhigh,openai/gpt-5.4-mini@reasoning=xhigh,openai/gpt-5.4-mini@reasoning=xhigh,1.0467,0.31,0.22,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,openai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench openai/gpt-5.4-mini reasoning=xhigh.,elo gpt-5.4-mini has -high/-low only; xhigh and none rows have no tier.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",openai
53,54,anthropic/claude-3.7-sonnet@reasoning=default,anthropic,default,1.0267,0.43,0.38,43,19,38,100,0,bullshit_bench,bullshit_bench:0053:anthropic_claude_3_7_sonnet_reasoning_default,anthropic/claude-3.7-sonnet@reasoning=default,anthropic/claude-3.7-sonnet@reasoning=default,1.0267,0.43,0.38,BullshitBench avg_score,claude-3-7-sonnet,alias,reviewed_2026_05,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3.7-sonnet is the same model as elo claude-3-7-sonnet.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
54,55,nvidia/nemotron-3-super-120b-a12b:free@reasoning=none,nvidia,none,1.0233,0.43,0.36,43,21,36,100,0,bullshit_bench,bullshit_bench:0054:nvidia_nemotron_3_super_120b_a12b_free_reasoning_none,nvidia/nemotron-3-super-120b-a12b:free@reasoning=none,nvidia/nemotron-3-super-120b-a12b:free@reasoning=none,1.0233,0.43,0.36,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,nvidia,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench nvidia/nemotron-3-super-120b-a12b:free reasoning=none.,,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",nvidia
