source_row_index,Model,Score,90% CI,llm_chess_model,eci_ci_low,eci_ci_high,eci_ci90_half_width,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,score_label,source_llm_chess_model
158,Phi-1.5,90.0,(53 - 103),,53.0,103.0,25.0,eci,eci:0158,Phi-1.5,Phi-1.5,90.0,ECI,
159,Dolly 2.0-12b,86.0,(68 - 97),,68.0,97.0,14.5,eci,eci:0159,Dolly 2.0-12b,Dolly 2.0-12b,86.0,ECI,
160,Cerebras-GPT-13B,78.0,(52 - 90),,52.0,90.0,19.0,eci,eci:0160,Cerebras-GPT-13B,Cerebras-GPT-13B,78.0,ECI,
161,DeepSeek Coder 1.3B,62.0,,,,,,eci,eci:0161,DeepSeek Coder 1.3B,DeepSeek Coder 1.3B,62.0,ECI,
162,StarCoder 2 3B,,,,,,,eci,eci:0162,StarCoder 2 3B,StarCoder 2 3B,,ECI,
163,StarCoder 2 7B,,,,,,,eci,eci:0163,StarCoder 2 7B,StarCoder 2 7B,,ECI,
164,StarCoder 2 15B,,,,,,,eci,eci:0164,StarCoder 2 15B,StarCoder 2 15B,,ECI,
165,InternVL2_5-78B,,,,,,,eci,eci:0165,InternVL2_5-78B,InternVL2_5-78B,,ECI,
166,NVILA 8B,,,,,,,eci,eci:0166,NVILA 8B,NVILA 8B,,ECI,
167,Gemini 2.5 Flash-Lite (Jun 2025),,,,,,,eci,eci:0167,Gemini 2.5 Flash-Lite (Jun 2025),Gemini 2.5 Flash-Lite (Jun 2025),,ECI,
