source_row_index,model_key,model_slug,provider,vals_index,corp_fin_v2,finance_agent,swebench,terminal_bench_2_1,vibe_code_bench,stderr,latency,cost_per_test,reasoning_effort,compute_effort,reasoning,verbosity,temperature,top_p,max_output_tokens,harness,eval_id,eval_row_id,eval_model_label,eval_variant_label,finance_bucket,coding_bucket,stated_effort,score_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
25,google/gemini-3.5-flash-lite,gemini-3.5-flash-lite,Google,50.997,62.238,46.626,68.627,50.187,32.772,1.623,342.247,0.416812,high,,,,1.0,,65536.0,,vals_index,vals_index:0025:google_gemini_3_5_flash_lite,google/gemini-3.5-flash-lite,google/gemini-3.5-flash-lite,54.432,46.0895,high,50.997,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,google,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Gemini 3.5 Flash Lite has no LLM Chess run; gemini-3.1-flash-lite-preview is a different version, not the same model. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Google
26,xiaomi/mimo-v2.5-pro,mimo-v2.5-pro,Xiaomi,50.744,62.471,41.243,66.667,57.303,36.321,1.626,839.412,0.091426,,,,,1.0,0.95,128000.0,,vals_index,vals_index:0026:xiaomi_mimo_v2_5_pro,xiaomi/mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,51.857,49.153,,50.744,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,xiaomi,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Xiaomi MiMo v2.5 Pro has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Xiaomi
27,google/gemini-3-flash-preview,gemini-3-flash-preview,Google,49.546,67.716,42.476,68.627,53.933,21.954,1.545,353.286,0.397051,high,,,,1.0,,65536.0,,vals_index,vals_index:0027:google_gemini_3_flash_preview,google/gemini-3-flash-preview,google/gemini-3-flash-preview,55.096,41.617000000000004,high,49.546,Vals Index v1.2,gemini-3-flash-preview,variant-compatible,reviewed_2026_07_vals_index,medium,google,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=high; the single LLM Chess run carries no effort suffix, so clause 3 has one candidate and takes it.","The LLM Chess run's thinking budget is not recorded in its name, so whether it corresponds to Vals' high effort is unverified.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Google
28,thinkingmachines/inkling,inkling,Thinkingmachines,49.284,69.231,45.971,75.49,47.566,13.277,1.292,1247.29,,0.99,,,,1.0,1.0,256000.0,,vals_index,vals_index:0028:thinkingmachines_inkling,thinkingmachines/inkling,thinkingmachines/inkling,57.601,37.402499999999996,0.99,49.284,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,thinkingmachines,vals_index_v1_2_2026_07_23,reasoning_effort=0.99,reasoning_or_configured,0.99,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Thinking Machines Inkling has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.","This row's reasoning_effort is the float 0.99 rather than a tier name, so even its effort vocabulary is not comparable.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Thinkingmachines
29,alibaba/qwen3.6-plus,qwen3.6-plus,Alibaba,48.887,62.238,40.88,70.588,53.184,28.253,1.455,838.547,1.552897,,,,,0.7,,65536.0,,vals_index,vals_index:0029:alibaba_qwen3_6_plus,alibaba/qwen3.6-plus,alibaba/qwen3.6-plus,51.559,45.0695,,48.887,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,alibaba,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Qwen 3.6 Plus against the unversioned LLM Chess qwen-plus. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.","qwen-plus carries no version, so which Qwen generation it ran is unrecorded.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Alibaba
30,openai/gpt-5.4-nano-2026-03-17,gpt-5.4-nano-2026-03-17,OpenAI,46.635,61.072,38.236,67.647,41.573,30.032,1.866,929.692,0.325075,high,,,,,,128000.0,,vals_index,vals_index:0030:openai_gpt_5_4_nano_2026_03_17,openai/gpt-5.4-nano-2026-03-17,openai/gpt-5.4-nano-2026-03-17,49.653999999999996,42.321,high,46.635,Vals Index v1.2,gpt-5.4-nano-high,accepted,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model, and the model_key pins the 2026-03-17 snapshot LLM Chess also ran. Vals reasoning_effort=high matches gpt-5.4-nano-high exactly under clause 2.",,cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
31,grok/grok-4.3,grok-4.3,SpaceXAI,46.48,70.047,37.766,70.588,41.948,15.475,1.364,366.757,0.68602,high,,,,0.7,0.95,,,vals_index,vals_index:0031:grok_grok_4_3,grok/grok-4.3,grok/grok-4.3,53.906499999999994,35.8715,high,46.48,Vals Index v1.2,grok-4.3-high,accepted,reviewed_2026_07_vals_index,high,grok,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,Same model and the stated effort matches exactly: Vals reasoning_effort=high maps to grok-4.3-high under clause 2.,,cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,SpaceXAI
32,nvidia/nemotron-3-ultra-550b-a55b,nemotron-3-ultra-550b-a55b,Nvidia,43.987,64.918,38.16,67.647,50.936,7.104,1.263,638.492,,,,,,,0.95,128000.0,,vals_index,vals_index:0032:nvidia_nemotron_3_ultra_550b_a55b,nvidia/nemotron-3-ultra-550b-a55b,nvidia/nemotron-3-ultra-550b-a55b,51.539,33.19775,,43.987,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,nvidia,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Nemotron 3 Ultra 550B-A55B against LLM Chess nemotron-3-nano@q3_k_l. Same generation but a different size class, and the chess run is additionally a local q3_k_l quantization, so two things differ at once. Not a match.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Nvidia
33,minimax/MiniMax-M2.7,MiniMax-M2.7,MiniMax,41.56,63.753,27.943,69.608,48.689,11.719,1.178,782.736,0.720828,,,,,1.0,0.95,196608.0,,vals_index,vals_index:0033:minimax_minimax_m2_7,minimax/MiniMax-M2.7,minimax/MiniMax-M2.7,45.848,35.433749999999996,,41.56,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,minimax,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"MiniMax M2.7 against LLM Chess minimax.minimax-m2.5. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling. The versions are adjacent, which does not make them the same model.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",MiniMax
34,anthropic/claude-haiku-4-5-20251001-thinking,claude-haiku-4-5-20251001-thinking,Anthropic,40.903,63.17,30.999,64.706,43.82,9.882,1.023,376.932,0.558143,,,,,1.0,,64000.0,,vals_index,vals_index:0034:anthropic_claude_haiku_4_5_20251001_thinking,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-haiku-4-5-20251001-thinking,47.0845,32.072500000000005,,40.903,Vals Index v1.2,claude-haiku-4-5_thinking_16000,variant-compatible,reviewed_2026_07_vals_index,medium,anthropic,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,reasoning,thinking_16000,assume-highest,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model and same reasoning kind: the Vals model_key ends in -thinking and pins the 20251001 snapshot, so it maps to the thinking chess run rather than plain claude-haiku-4-5. Vals states neither reasoning_effort nor compute_effort, so clause 1 assumes the highest and takes the only thinking run available.","LLM Chess expresses this run as a 16000-token thinking budget rather than an effort tier, and Vals states no budget, so the two configurations cannot be checked against each other.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Anthropic
35,grok/grok-4.20-0309-reasoning,grok-4.20-0309-reasoning,SpaceXAI,39.496,65.851,28.573,66.667,44.195,1.515,0.772,223.886,0.540067,,,,,0.7,0.95,2000000.0,,vals_index,vals_index:0035:grok_grok_4_20_0309_reasoning,grok/grok-4.20-0309-reasoning,grok/grok-4.20-0309-reasoning,47.212,28.473,,39.496,Vals Index v1.2,grok-4-20-reasoning,alias,reviewed_2026_07_vals_index,high,grok,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,reasoning,,assume-highest,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model under a differently punctuated name: Vals grok/grok-4.20-0309-reasoning is the LLM Chess grok-4-20-reasoning run, and both name the reasoning variant explicitly. Vals states no effort, so clause 1 assumes the highest, which is the only reasoning run LLM Chess has.","Vals pins the 0309 snapshot; the LLM Chess name carries no date, so snapshot identity is inferred from the version rather than confirmed.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,SpaceXAI
36,mistralai/mistral-medium-3.5,mistral-medium-3.5,Mistral AI,37.814,59.907,31.511,64.706,38.951,1.24,1.057,1003.73,4.815687,high,,,,0.7,0.95,80000.0,,vals_index,vals_index:0036:mistralai_mistral_medium_3_5,mistralai/mistral-medium-3.5,mistralai/mistral-medium-3.5,45.708999999999996,26.534250000000004,high,37.814,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,mistralai,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Mistral Medium 3.5 has no LLM Chess run; the inventory holds only mistral-nemo-12b-instruct and mistral-small variants, which are different models rather than versions of this one. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Mistral AI
37,google/gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,Google,36.2,60.839,30.068,57.843,34.082,0.0,0.741,209.083,0.171524,high,,,,1.0,,65536.0,,vals_index,vals_index:0037:google_gemini_3_1_flash_lite_preview,google/gemini-3.1-flash-lite-preview,google/gemini-3.1-flash-lite-preview,45.4535,22.981250000000003,high,36.2,Vals Index v1.2,gemini-3.1-flash-lite-preview,variant-compatible,reviewed_2026_07_vals_index,medium,google,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Identical model name on both sides. Vals states reasoning_effort=high; the single LLM Chess run carries no effort suffix, so clause 3 has one candidate and takes it.","The LLM Chess run's thinking budget is not recorded in its name, so whether it corresponds to Vals' high effort is unverified.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Google
38,poolside/laguna-m.1,laguna-m.1,Poolside,33.334,55.245,24.634,50.98,34.082,5.264,0.934,1212.296,0.789689,,,,,1.0,,32768.0,,vals_index,vals_index:0038:poolside_laguna_m_1,poolside/laguna-m.1,poolside/laguna-m.1,39.939499999999995,23.8975,,33.334,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,poolside,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Poolside Laguna M.1 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Poolside
39,poolside/laguna-xs.2,laguna-xs.2,Poolside,30.041,55.478,18.693,43.137,25.843,5.465,1.009,747.181,0.316248,,,,,1.0,,32768.0,,vals_index,vals_index:0039:poolside_laguna_xs_2,poolside/laguna-xs.2,poolside/laguna-xs.2,37.0855,19.9775,,30.041,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,poolside,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Poolside Laguna XS.2 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Poolside
