model,1m_prompt,1m_completion,date_released,reasoning_status,comment,mode_family,reasoning_level
claude-sonnet-5, 2, 10, 2026-02,not_reasoning,Anthropic official pricing,claude-sonnet-5,none
claude-sonnet-5_adaptive-thinking-high, 2, 10, 2026-02,reasoning,Anthropic official pricing,claude-sonnet-5,high
claude-sonnet-5_adaptive-thinking-medium, 2, 10, 2026-02,reasoning,Anthropic official pricing,claude-sonnet-5,medium
claude-opus-5_adaptive-thinking-high, 5, 25, 2026-04,reasoning,Anthropic official pricing,claude-opus-5,high
cursor_cli_composer_2, 0.50, 2.50, 2026-03,reasoning,Cursor Composer 2 Standard tier (built on Kimi K2.5),cursor_cli_composer_2,default
deepseek-r1-0528, 0.55, 2.19, 2025-05,reasoning,DeepSeek official pricing; same as deepseek-reasoner,deepseek-r1-0528,default
gemini-3.1-flash-lite-preview, 0.25, 1.50, 2026-03,reasoning,Google official pricing,gemini-3.1-flash-lite-preview,default
gemini-3.1-pro-preview, 2.00, 12.00, 2026-02,reasoning,Google official pricing (<=200K context tier),gemini-3.1-pro-preview,default
gemini-3.1-pro-preview-high, 2.00, 12.00, 2026-02,reasoning,Google official pricing (<=200K context tier),gemini-3.1-pro-preview,high
gpt-5.4-high, 2.50, 15.00, 2026-03,reasoning,OpenAI official pricing for GPT-5.4,gpt-5.4,high
gpt-5.4-low, 2.50, 15.00, 2026-03,reasoning,OpenAI official pricing for GPT-5.4,gpt-5.4,low
gpt-5.4-medium, 2.50, 15.00, 2026-03,reasoning,OpenAI official pricing for GPT-5.4,gpt-5.4,medium
gpt-5.4-mini-high, 0.75, 4.50, 2026-03,reasoning,OpenAI official pricing for GPT-5.4 mini,gpt-5.4-mini,high
gpt-5.4-mini-low, 0.75, 4.50, 2026-03,reasoning,OpenAI official pricing for GPT-5.4 mini,gpt-5.4-mini,low
gpt-5.4-mini-medium, 0.75, 4.50, 2026-03,reasoning,OpenAI official pricing for GPT-5.4 mini,gpt-5.4-mini,medium
gpt-5.4-nano-high, 0.20, 1.25, 2026-03,reasoning,OpenAI official pricing for GPT-5.4 nano,gpt-5.4-nano,high
grok-4-20-non-reasoning, 2.00, 6.00, 2026-03,not_reasoning,xAI official pricing,grok-4-20,none
grok-4-20-reasoning, 2.00, 6.00, 2026-03,reasoning,xAI official pricing,grok-4-20,default
grok-4.3-high, 1.25, 2.50, 2026-05, Azure pricing,,grok-4.3,high
minimax.minimax-m2.1, 0.3, 1.2, 2025-12,not_reasoning,MiniMax official pay-as-you-go pricing (platform.minimax.io); interleaved thinking (same convention as minimax-m2),minimax.minimax-m2.1,none
minimax.minimax-m2.5, 0.3, 1.2, 2026-02,not_reasoning,MiniMax official pay-as-you-go pricing (platform.minimax.io); interleaved thinking,minimax.minimax-m2.5,none
qwen3.5-9b@q8_0,,,2026-03,not_reasoning,Local quantized model,qwen3.5-9b@q8_0,none
qwen3.5-0.8b@bf16,,,2026-03,not_reasoning,Official BF16 weights served locally with vLLM; thinking disabled,qwen3.5-0.8b@bf16,none
qwen3.5-2b@bf16,,,2026-03,not_reasoning,Official BF16 weights served locally with vLLM; thinking disabled,qwen3.5-2b@bf16,none
qwen3.5-4b-thinking@bf16,,,2026-03,reasoning,Official BF16 weights served locally with vLLM; thinking enabled,qwen3.5-4b@bf16,default
qwen3.5-9b-thinking@bf16,,,2026-03,reasoning,Official BF16 weights served locally with vLLM; thinking enabled,qwen3.5-9b@bf16,default
zai.glm-5, 1.00, 3.20, 2026-02,reasoning,Z.ai official pricing (thinking mode on by default),zai.glm-5,default
amazon.nova-premier, 2.50, 12.50, 2025-10,reasoning,AWS Bedrock public price list for Amazon Nova Premier,amazon.nova-premier,default
meta.llama4-scout-17b-instruct-v1:0, 0.17, 0.66, 2025-04,not_reasoning,AWS Bedrock public price list for Meta Llama 4 Scout 17B,meta.llama4-scout-17b-instruct-v1:0,none
qwen3.6-27b@q4_k_s, 0.30, 2.00, 2026-04,reasoning,OpenRouter pricing for Qwen3.6 27B,qwen3.6-27b@q4_k_s,default
qwen3.8-27b@q4_k_m, 0.30, 2.00, 2026-08,reasoning,OpenRouter pricing for Qwen3.6 27B,qwen3.8-27b@q4_k_m,default
unsloth/qwen3.8-27b@q2_k_xl, 0.3, 2.0, 2026-08,assuming same as normal qwen,,unsloth/qwen3.8-27b@q2_k_xl,default
agents-a1@q4_k_m, 0.14, 1.00, 2026-07,reasoning,Local quantized; Assuming same as qwen3.6-35b-a3b@q4_k_m,agents-a1@q4_k_m,default
qwen3.5-35b-a3b@q4_k_m, 0.14, 1.00, 2026-02,reasoning,Local quantized; Assuming same as qwen3.6-35b-a3b@q4_k_m,qwen3.5-35b-a3b@q4_k_m,default
muse-glimmer-30b@q4_k_m, 0.3, 1.10, reasoning, 2026-08, OpenRouter price,muse-glimmer-30b@q4_k_m,default
gemini-3.5-flash, 1.50, 9.00, 2026-05,reasoning,Google official pricing,gemini-3.5-flash,default
gemini-3.5-flash-medium, 1.50, 9.00, 2026-05,reasoning,Google official pricing,gemini-3.5-flash,medium
gemini-3.6-flash, 1.50, 7.50, 2026-05,reasoning,Google official pricing,gemini-3.6-flash,default
gemini-3.6-flash-low, 1.50, 7.50, 2026-05,reasoning,Google official pricing,gemini-3.6-flash,low
gemini-3.6-flash-medium, 1.50, 7.50, 2026-05,reasoning,Google official pricing,gemini-3.6-flash,medium
gemini-3.6-flash-high, 1.50, 7.50, 2026-05,reasoning,Google official pricing,gemini-3.6-flash,high
gemini-3.7-flash-high, 0.75, 3.75, 2026-08,reasoning,Promo pricing until end of 2026,gemini-3.7-flash,high
gemini-3.8-flash-medium, 0.75, 3.75, 2026-09,reasoning,Promo pricing until end of 2026,gemini-3.8-flash,medium
gemini-3.8-flash-high, 0.75, 3.75, 2026-09,reasoning,Promo pricing until end of 2026,gemini-3.8-flash,high
gpt-5.6-luna-2026-07-09-low, 1.00, 6.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Luna,gpt-5.6-luna-2026-07-09,low
gpt-5.6-luna-2026-07-09-medium, 1.00, 6.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Luna,gpt-5.6-luna-2026-07-09,medium
gpt-5.6-luna-2026-07-09-high, 1.00, 6.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Luna,gpt-5.6-luna-2026-07-09,high
gpt-5.6-luna-2026-07-09-xhigh, 1.00, 6.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Luna,gpt-5.6-luna-2026-07-09,xhigh
gpt-5.6-sol-2026-07-09-low, 5.00, 30.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Sol,gpt-5.6-sol-2026-07-09,low
gpt-5.6-sol-2026-07-09-medium, 5.00, 30.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Sol,gpt-5.6-sol-2026-07-09,medium
gpt-5.6-sol-2026-07-09-high, 5.00, 30.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Sol,gpt-5.6-sol-2026-07-09,high
gpt-5.6-sol-2026-07-09-xhigh, 5.00, 30.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Sol,gpt-5.6-sol-2026-07-09,xhigh
gpt-5.6-terra-2026-07-09-low, 2.50, 15.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Terra,gpt-5.6-terra-2026-07-09,low
gpt-5.6-terra-2026-07-09-medium, 2.50, 15.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Terra,gpt-5.6-terra-2026-07-09,medium
gpt-5.6-terra-2026-07-09-high, 2.50, 15.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Terra,gpt-5.6-terra-2026-07-09,high
gpt-5.6-terra-2026-07-09-xhigh, 2.50, 15.00, 2026-07,reasoning,OpenAI official pricing for GPT-5.6 Terra,gpt-5.6-terra-2026-07-09,xhigh
gpt-6-astra-2026-09-03-high, 10, 50, 2026-09, reasoning,,gpt-6-astra-2026-09-03,high
gpt-6-astra-2026-09-03-xhigh, 10, 50, 2026-09, reasoning,,gpt-6-astra-2026-09-03,xhigh
gpt-6-astra-2026-09-03-max, 10, 50, 2026-09, reasoning,,gpt-6-astra-2026-09-03-max,default
grok-4.6-high, 2.0, 6.0, 2026-08,reasoning,xAI official pricing,grok-4.6,high
